Round,Date,Team 1,Team 2,FT
1,1898,Aston Villa,Liverpool,5-0
1,1898,Blackburn Rovers,Liverpool,01-Mar
1,1898,Bolton Wanderers,Liverpool,02-Jan
1,1898,Burnley,Liverpool,02-Jan
1,1898,Bury,Liverpool,3-0
1,1898,Derby County,Liverpool,1-0
1,1898,Everton,Liverpool,01-Feb
1,1898,Newcastle United,Liverpool,3-0
1,1898,Nottingham Forest,Liverpool,0-3
1,1898,Notts County,Liverpool,01-Jan
1,1898,Preston North End,Liverpool,01-Feb
1,1898,Sheffield United,Liverpool,0-2
1,1898,Sheffield Wednesday,Liverpool,0-3
1,1898,Stoke City,Liverpool,02-Jan
1,1898,Sunderland,Liverpool,1-0
1,1898,West Bromwich Albion,Liverpool,0-1
1,1898,Wolverhampton Wanderers,Liverpool,0-0
1,1898,Aston Villa,Newcastle United,1-0
1,1898,Blackburn Rovers,Newcastle United,04-Feb
1,1898,Bolton Wanderers,Newcastle United,0-0
1,1898,Burnley,Newcastle United,02-Jan
1,1898,Bury,Newcastle United,01-Jan
1,1898,Derby County,Newcastle United,03-Jan
1,1898,Everton,Newcastle United,3-0
1,1898,Liverpool,Newcastle United,03-Feb
1,1898,Nottingham Forest,Newcastle United,2-0
1,1898,Notts County,Newcastle United,03-Jan
1,1898,Preston North End,Newcastle United,1-0
1,1898,Sheffield United,Newcastle United,02-Feb
1,1898,Sheffield Wednesday,Newcastle United,01-Mar
1,1898,Stoke City,Newcastle United,0-0
1,1898,Sunderland,Newcastle United,02-Mar
1,1898,West Bromwich Albion,Newcastle United,2-0
1,1898,Wolverhampton Wanderers,Newcastle United,0-0
1,1898,Aston Villa,Nottingham Forest,3-0
1,1898,Blackburn Rovers,Nottingham Forest,03-Mar
1,1898,Bolton Wanderers,Nottingham Forest,0-2
1,1898,Burnley,Nottingham Forest,01-Jan
1,1898,Bury,Nottingham Forest,2-0
1,1898,Derby County,Nottingham Forest,2-0
1,1898,Everton,Nottingham Forest,01-Mar
1,1898,Liverpool,Nottingham Forest,0-1
1,1898,Newcastle United,Nottingham Forest,0-1
1,1898,Notts County,Nottingham Forest,02-Feb
1,1898,Preston North End,Nottingham Forest,1-0
1,1898,Sheffield United,Nottingham Forest,02-Feb
1,1898,Sheffield Wednesday,Nottingham Forest,02-Jan
1,1898,Stoke City,Nottingham Forest,02-Jan
1,1898,Sunderland,Nottingham Forest,01-Jan
1,1898,West Bromwich Albion,Nottingham Forest,2-0
1,1898,Wolverhampton Wanderers,Nottingham Forest,0-2
1,1898,Aston Villa,Notts County,06-Jan
1,1898,Blackburn Rovers,Notts County,6-0
1,1898,Bolton Wanderers,Notts County,0-1
1,1898,Burnley,Notts County,01-Jan
1,1898,Bury,Notts County,2-0
1,1898,Derby County,Notts County,04-Feb
1,1898,Everton,Notts County,01-Feb
1,1898,Liverpool,Notts County,0-0
1,1898,Newcastle United,Notts County,01-Feb
1,1898,Nottingham Forest,Notts County,0-0
1,1898,Preston North End,Notts County,2-0
1,1898,Sheffield United,Notts County,02-Feb
1,1898,Sheffield Wednesday,Notts County,01-Jan
1,1898,Stoke City,Notts County,01-Jan
1,1898,Sunderland,Notts County,01-Jan
1,1898,West Bromwich Albion,Notts County,2-0
1,1898,Wolverhampton Wanderers,Notts County,1-0
1,1898,Aston Villa,Preston North End,04-Feb
1,1898,Blackburn Rovers,Preston North End,02-Feb
1,1898,Bolton Wanderers,Preston North End,02-Feb
1,1898,Burnley,Preston North End,03-Jan
1,1898,Bury,Preston North End,03-Jan
1,1898,Derby County,Preston North End,1-0
1,1898,Everton,Preston North End,2-0
1,1898,Liverpool,Preston North End,03-Jan
1,1898,Newcastle United,Preston North End,02-Jan
1,1898,Nottingham Forest,Preston North End,02-Feb
1,1898,Notts County,Preston North End,1-0
1,1898,Sheffield United,Preston North End,01-Jan
1,1898,Sheffield Wednesday,Preston North End,02-Jan
1,1898,Stoke City,Preston North End,02-Jan
1,1898,Sunderland,Preston North End,1-0
1,1898,West Bromwich Albion,Preston North End,2-0
1,1898,Wolverhampton Wanderers,Preston North End,0-0
1,1898,Aston Villa,Sheffield United,01-Jan
1,1898,Blackburn Rovers,Sheffield United,02-Jan
1,1898,Bolton Wanderers,Sheffield United,3-0
1,1898,Burnley,Sheffield United,1-0
1,1898,Bury,Sheffield United,01-Mar
1,1898,Derby County,Sheffield United,1-0
1,1898,Everton,Sheffield United,1-0
1,1898,Liverpool,Sheffield United,02-Jan
1,1898,Newcastle United,Sheffield United,01-Feb
1,1898,Nottingham Forest,Sheffield United,02-Jan
1,1898,Notts County,Sheffield United,02-Feb
1,1898,Preston North End,Sheffield United,1-0
1,1898,Sheffield Wednesday,Sheffield United,01-Jan
1,1898,Stoke City,Sheffield United,04-Jan
1,1898,Sunderland,Sheffield United,1-0
1,1898,West Bromwich Albion,Sheffield United,3-0
1,1898,Wolverhampton Wanderers,Sheffield United,04-Jan
1,1898,Aston Villa,Sheffield Wednesday,03-Jan
1,1898,Blackburn Rovers,Sheffield Wednesday,2-0
1,1898,Bolton Wanderers,Sheffield Wednesday,0-0
1,1898,Burnley,Sheffield Wednesday,5-0
1,1898,Bury,Sheffield Wednesday,0-0
1,1898,Derby County,Sheffield Wednesday,9-0
1,1898,Everton,Sheffield Wednesday,2-0
1,1898,Liverpool,Sheffield Wednesday,4-0
1,1898,Newcastle United,Sheffield Wednesday,02-Feb
1,1898,Nottingham Forest,Sheffield Wednesday,01-Jan
1,1898,Notts County,Sheffield Wednesday,1-0
1,1898,Preston North End,Sheffield Wednesday,01-Jan
1,1898,Sheffield United,Sheffield Wednesday,02-Jan
1,1898,Stoke City,Sheffield Wednesday,1-0
1,1898,Sunderland,Sheffield Wednesday,2-0
1,1898,West Bromwich Albion,Sheffield Wednesday,2-0
1,1898,Wolverhampton Wanderers,Sheffield Wednesday,0-0
1,1898,Aston Villa,Stoke City,03-Jan
1,1898,Blackburn Rovers,Stoke City,04-Jan
1,1898,Bolton Wanderers,Stoke City,0-2
1,1898,Burnley,Stoke City,01-Jan
1,1898,Bury,Stoke City,05-Feb
1,1898,Derby County,Stoke City,01-Jan
1,1898,Everton,Stoke City,2-0
1,1898,Liverpool,Stoke City,1-0
1,1898,Newcastle United,Stoke City,3-0
1,1898,Nottingham Forest,Stoke City,02-Jan
1,1898,Notts County,Stoke City,2-0
1,1898,Preston North End,Stoke City,04-Feb
1,1898,Sheffield United,Stoke City,01-Jan
1,1898,Sheffield Wednesday,Stoke City,01-Mar
1,1898,Sunderland,Stoke City,2-0
1,1898,West Bromwich Albion,Stoke City,0-1
1,1898,Wolverhampton Wanderers,Stoke City,03-Feb
1,1898,Aston Villa,Sunderland,2-0
1,1898,Blackburn Rovers,Sunderland,03-Feb
1,1898,Bolton Wanderers,Sunderland,06-Jan
1,1898,Burnley,Sunderland,1-0
1,1898,Bury,Sunderland,01-Feb
1,1898,Derby County,Sunderland,04-Feb
1,1898,Everton,Sunderland,0-0
1,1898,Liverpool,Sunderland,0-0
1,1898,Newcastle United,Sunderland,0-1
1,1898,Nottingham Forest,Sunderland,01-Jan
1,1898,Notts County,Sunderland,05-Feb
1,1898,Preston North End,Sunderland,02-Mar
1,1898,Sheffield United,Sunderland,2-0
1,1898,Sheffield Wednesday,Sunderland,0-1
1,1898,Stoke City,Sunderland,1-0
1,1898,West Bromwich Albion,Sunderland,1-0
1,1898,Wolverhampton Wanderers,Sunderland,2-0
1,1898,Aston Villa,West Bromwich Albion,07-Jan
1,1898,Blackburn Rovers,West Bromwich Albion,04-Jan
1,1898,Bolton Wanderers,West Bromwich Albion,03-Mar
1,1898,Burnley,West Bromwich Albion,01-Jan
1,1898,Bury,West Bromwich Albion,01-Jan
1,1898,Derby County,West Bromwich Albion,04-Jan
1,1898,Everton,West Bromwich Albion,1-0
1,1898,Liverpool,West Bromwich Albion,02-Feb
1,1898,Newcastle United,West Bromwich Albion,3-0
1,1898,Nottingham Forest,West Bromwich Albion,3-0
1,1898,Notts County,West Bromwich Albion,0-0
1,1898,Preston North End,West Bromwich Albion,4-0
1,1898,Sheffield United,West Bromwich Albion,5-0
1,1898,Sheffield Wednesday,West Bromwich Albion,01-Feb
1,1898,Stoke City,West Bromwich Albion,02-Jan
1,1898,Sunderland,West Bromwich Albion,2-0
1,1898,Wolverhampton Wanderers,West Bromwich Albion,05-Jan
1,1898,Aston Villa,Wolverhampton Wanderers,01-Jan
1,1898,Blackburn Rovers,Wolverhampton Wanderers,02-Feb
1,1898,Bolton Wanderers,Wolverhampton Wanderers,02-Jan
1,1898,Burnley,Wolverhampton Wanderers,04-Feb
1,1898,Bury,Wolverhampton Wanderers,0-2
1,1898,Derby County,Wolverhampton Wanderers,06-Feb
1,1898,Everton,Wolverhampton Wanderers,02-Jan
1,1898,Liverpool,Wolverhampton Wanderers,1-0
1,1898,Newcastle United,Wolverhampton Wanderers,02-Apr
1,1898,Nottingham Forest,Wolverhampton Wanderers,3-0
1,1898,Notts County,Wolverhampton Wanderers,0-2
1,1898,Preston North End,Wolverhampton Wanderers,02-Jan
1,1898,Sheffield United,Wolverhampton Wanderers,1-0
1,1898,Sheffield Wednesday,Wolverhampton Wanderers,3-0
1,1898,Stoke City,Wolverhampton Wanderers,02-Apr
1,1898,Sunderland,Wolverhampton Wanderers,3-0
1,1898,West Bromwich Albion,Wolverhampton Wanderers,01-Feb
2,1898,Barnsley,Arsenal,02-Jan
2,1898,Birmingham City,Arsenal,04-Jan
2,1898,Blackpool,Arsenal,01-Jan
2,1898,Burton Swifts,Arsenal,01-Feb
2,1898,Darwen,Arsenal,01-Apr
2,1898,Gainsborough Trinity,Arsenal,0-1
2,1898,Glossop North End,Arsenal,2-0
2,1898,Grimsby Town,Arsenal,1-0
2,1898,Leicester City,Arsenal,02-Jan
2,1898,Lincoln City,Arsenal,2-0
2,1898,Loughborough,Arsenal,0-0
2,1898,Luton Town,Arsenal,0-1
2,1898,Manchester City,Arsenal,03-Jan
2,1898,Manchester United,Arsenal,02-Feb
2,1898,New Brighton Tower,Arsenal,03-Jan
2,1898,Port Vale,Arsenal,3-0
2,1898,Walsall,Arsenal,04-Jan
2,1898,Arsenal,Barnsley,3-0
2,1898,Birmingham City,Barnsley,03-Jan
2,1898,Blackpool,Barnsley,03-Jan
2,1898,Burton Swifts,Barnsley,5-0
2,1898,Darwen,Barnsley,01-Jan
2,1898,Gainsborough Trinity,Barnsley,2-0
2,1898,Glossop North End,Barnsley,1-0
2,1898,Grimsby Town,Barnsley,0-1
2,1898,Leicester City,Barnsley,03-Jan
2,1898,Lincoln City,Barnsley,1-0
2,1898,Loughborough,Barnsley,2-0
2,1898,Luton Town,Barnsley,04-Jan
2,1898,Manchester City,Barnsley,5-0
2,1898,Manchester United,Barnsley,0-0
2,1898,New Brighton Tower,Barnsley,02-Jan
2,1898,Port Vale,Barnsley,2-0
2,1898,Walsall,Barnsley,01-Jan
2,1898,Arsenal,Birmingham City,2-0
2,1898,Barnsley,Birmingham City,07-Feb
2,1898,Blackpool,Birmingham City,01-Jan
2,1898,Burton Swifts,Birmingham City,02-Jun
2,1898,Darwen,Birmingham City,01-Jan
2,1898,Gainsborough Trinity,Birmingham City,01-Jan
2,1898,Glossop North End,Birmingham City,01-Feb
2,1898,Grimsby Town,Birmingham City,2-0
2,1898,Leicester City,Birmingham City,0-0
2,1898,Lincoln City,Birmingham City,02-Feb
2,1898,Loughborough,Birmingham City,01-Jan
2,1898,Luton Town,Birmingham City,02-Mar
2,1898,Manchester City,Birmingham City,2-0
2,1898,Manchester United,Birmingham City,2-0
2,1898,New Brighton Tower,Birmingham City,4-0
2,1898,Port Vale,Birmingham City,1-0
2,1898,Walsall,Birmingham City,2-0
2,1898,Arsenal,Blackpool,6-0
2,1898,Barnsley,Blackpool,02-Jan
2,1898,Birmingham City,Blackpool,5-0
2,1898,Burton Swifts,Blackpool,03-Jan
2,1898,Darwen,Blackpool,0-2
2,1898,Gainsborough Trinity,Blackpool,7-0
2,1898,Glossop North End,Blackpool,04-Jan
2,1898,Grimsby Town,Blackpool,02-Jan
2,1898,Leicester City,Blackpool,4-0
2,1898,Lincoln City,Blackpool,0-0
2,1898,Loughborough,Blackpool,01-Mar
2,1898,Luton Town,Blackpool,03-Feb
2,1898,Manchester City,Blackpool,04-Jan
2,1898,Manchester United,Blackpool,03-Jan
2,1898,New Brighton Tower,Blackpool,4-0
2,1898,Port Vale,Blackpool,06-Jan
2,1898,Walsall,Blackpool,6-0
2,1898,Arsenal,Burton Swifts,02-Jan
2,1898,Barnsley,Burton Swifts,2-0
2,1898,Birmingham City,Burton Swifts,04-Jan
2,1898,Blackpool,Burton Swifts,3-0
2,1898,Darwen,Burton Swifts,0-2
2,1898,Gainsborough Trinity,Burton Swifts,01-Feb
2,1898,Glossop North End,Burton Swifts,5-0
2,1898,Grimsby Town,Burton Swifts,01-Mar
2,1898,Leicester City,Burton Swifts,1-0
2,1898,Lincoln City,Burton Swifts,01-Jan
2,1898,Loughborough,Burton Swifts,1-0
2,1898,Luton Town,Burton Swifts,3-0
2,1898,Manchester City,Burton Swifts,6-0
2,1898,Manchester United,Burton Swifts,02-Feb
2,1898,New Brighton Tower,Burton Swifts,02-Feb
2,1898,Port Vale,Burton Swifts,04-Jan
2,1898,Walsall,Burton Swifts,07-Jan
2,1898,Arsenal,Darwen,6-0
2,1898,Barnsley,Darwen,6-0
2,1898,Birmingham City,Darwen,8-0
2,1898,Blackpool,Darwen,6-0
2,1898,Burton Swifts,Darwen,4-0
2,1898,Gainsborough Trinity,Darwen,02-Feb
2,1898,Glossop North End,Darwen,5-0
2,1898,Grimsby Town,Darwen,09-Feb
2,1898,Leicester City,Darwen,4-0
2,1898,Lincoln City,Darwen,2-0
2,1898,Loughborough,Darwen,10-0
2,1898,Luton Town,Darwen,08-Jan
2,1898,Manchester City,Darwen,10-0
2,1898,Manchester United,Darwen,9-0
2,1898,New Brighton Tower,Darwen,7-0
2,1898,Port Vale,Darwen,03-Jan
2,1898,Walsall,Darwen,10-0
2,1898,Arsenal,Gainsborough Trinity,05-Jan
2,1898,Barnsley,Gainsborough Trinity,1-0
2,1898,Birmingham City,Gainsborough Trinity,06-Jan
2,1898,Blackpool,Gainsborough Trinity,4-0
2,1898,Burton Swifts,Gainsborough Trinity,02-Jan
2,1898,Darwen,Gainsborough Trinity,0-3
2,1898,Glossop North End,Gainsborough Trinity,05-Jan
2,1898,Grimsby Town,Gainsborough Trinity,0-2
2,1898,Leicester City,Gainsborough Trinity,1-0
2,1898,Lincoln City,Gainsborough Trinity,1-0
2,1898,Loughborough,Gainsborough Trinity,0-0
2,1898,Luton Town,Gainsborough Trinity,04-Feb
2,1898,Manchester City,Gainsborough Trinity,4-0
2,1898,Manchester United,Gainsborough Trinity,06-Jan
2,1898,New Brighton Tower,Gainsborough Trinity,03-Feb
2,1898,Port Vale,Gainsborough Trinity,02-Jan
2,1898,Walsall,Gainsborough Trinity,06-Jan
2,1898,Arsenal,Glossop North End,3-0
2,1898,Barnsley,Glossop North End,01-Jan
2,1898,Birmingham City,Glossop North End,01-Jan
2,1898,Blackpool,Glossop North End,01-Feb
2,1898,Burton Swifts,Glossop North End,01-Feb
2,1898,Darwen,Glossop North End,0-2
2,1898,Gainsborough Trinity,Glossop North End,02-Apr
2,1898,Grimsby Town,Glossop North End,01-Jan
2,1898,Leicester City,Glossop North End,04-Feb
2,1898,Lincoln City,Glossop North End,02-Feb
2,1898,Loughborough,Glossop North End,01-Mar
2,1898,Luton Town,Glossop North End,0-2
2,1898,Manchester City,Glossop North End,0-2
2,1898,Manchester United,Glossop North End,3-0
2,1898,New Brighton Tower,Glossop North End,02-Feb
2,1898,Port Vale,Glossop North End,01-Feb
2,1898,Walsall,Glossop North End,2-0
2,1898,Arsenal,Grimsby Town,01-Jan
2,1898,Barnsley,Grimsby Town,02-Feb
2,1898,Birmingham City,Grimsby Town,02-Jan
2,1898,Blackpool,Grimsby Town,03-Jun
2,1898,Burton Swifts,Grimsby Town,01-Feb
2,1898,Darwen,Grimsby Town,0-2
2,1898,Gainsborough Trinity,Grimsby Town,05-Jan
2,1898,Glossop North End,Grimsby Town,04-Feb
2,1898,Leicester City,Grimsby Town,2-0
2,1898,Lincoln City,Grimsby Town,01-Jun
2,1898,Loughborough,Grimsby Town,01-Mar
2,1898,Luton Town,Grimsby Town,03-Jan
2,1898,Manchester City,Grimsby Town,07-Feb
2,1898,Manchester United,Grimsby Town,03-Feb
2,1898,New Brighton Tower,Grimsby Town,2-0
2,1898,Port Vale,Grimsby Town,2-0
2,1898,Walsall,Grimsby Town,04-Jan
2,1898,Arsenal,Leicester City,4-0
2,1898,Barnsley,Leicester City,03-Apr
2,1898,Birmingham City,Leicester City,0-3
2,1898,Blackpool,Leicester City,02-Feb
2,1898,Burton Swifts,Leicester City,01-Jan
2,1898,Darwen,Leicester City,3-0
2,1898,Gainsborough Trinity,Leicester City,4-0
2,1898,Glossop North End,Leicester City,01-Mar
2,1898,Grimsby Town,Leicester City,1-0
2,1898,Lincoln City,Leicester City,03-Jan
2,1898,Loughborough,Leicester City,0-3
2,1898,Luton Town,Leicester City,01-Jun
2,1898,Manchester City,Leicester City,03-Jan
2,1898,Manchester United,Leicester City,02-Feb
2,1898,New Brighton Tower,Leicester City,1-0
2,1898,Port Vale,Leicester City,0-2
2,1898,Walsall,Leicester City,01-Jan
2,1898,Arsenal,Lincoln City,04-Feb
2,1898,Barnsley,Lincoln City,1-0
2,1898,Birmingham City,Lincoln City,04-Jan
2,1898,Blackpool,Lincoln City,3-0
2,1898,Burton Swifts,Lincoln City,02-Jan
2,1898,Darwen,Lincoln City,01-Feb
2,1898,Gainsborough Trinity,Lincoln City,02-Feb
2,1898,Glossop North End,Lincoln City,2-0
2,1898,Grimsby Town,Lincoln City,01-Jan
2,1898,Leicester City,Lincoln City,03-Feb
2,1898,Loughborough,Lincoln City,02-Apr
2,1898,Luton Town,Lincoln City,2-0
2,1898,Manchester City,Lincoln City,03-Jan
2,1898,Manchester United,Lincoln City,1-0
2,1898,New Brighton Tower,Lincoln City,04-Jan
2,1898,Port Vale,Lincoln City,02-Jan
2,1898,Walsall,Lincoln City,03-Feb
2,1898,Arsenal,Loughborough,03-Jan
2,1898,Barnsley,Loughborough,9-0
2,1898,Birmingham City,Loughborough,6-0
2,1898,Blackpool,Loughborough,02-Jan
2,1898,Burton Swifts,Loughborough,01-Jan
2,1898,Darwen,Loughborough,0-1
2,1898,Gainsborough Trinity,Loughborough,3-0
2,1898,Glossop North End,Loughborough,4-0
2,1898,Grimsby Town,Loughborough,5-0
2,1898,Leicester City,Loughborough,1-0
2,1898,Lincoln City,Loughborough,6-0
2,1898,Luton Town,Loughborough,02-Feb
2,1898,Manchester City,Loughborough,5-0
2,1898,Manchester United,Loughborough,06-Jan
2,1898,New Brighton Tower,Loughborough,3-0
2,1898,Port Vale,Loughborough,3-0
2,1898,Walsall,Loughborough,7-0
2,1898,Arsenal,Luton Town,06-Feb
2,1898,Barnsley,Luton Town,02-Jan
2,1898,Birmingham City,Luton Town,9-0
2,1898,Blackpool,Luton Town,02-Mar
2,1898,Burton Swifts,Luton Town,01-Jan
2,1898,Darwen,Luton Town,04-Jan
2,1898,Gainsborough Trinity,Luton Town,02-Mar
2,1898,Glossop North End,Luton Town,5-0
2,1898,Grimsby Town,Luton Town,5-0
2,1898,Leicester City,Luton Town,01-Jan
2,1898,Lincoln City,Luton Town,2-0
2,1898,Loughborough,Luton Town,04-Jan
2,1898,Manchester City,Luton Town,2-0
2,1898,Manchester United,Luton Town,5-0
2,1898,New Brighton Tower,Luton Town,4-0
2,1898,Port Vale,Luton Town,04-Jan
2,1898,Walsall,Luton Town,6-0
2,1898,Arsenal,Manchester City,0-1
2,1898,Barnsley,Manchester City,01-Jan
2,1898,Birmingham City,Manchester City,04-Jan
2,1898,Blackpool,Manchester City,02-Apr
2,1898,Burton Swifts,Manchester City,03-Mar
2,1898,Darwen,Manchester City,0-2
2,1898,Gainsborough Trinity,Manchester City,03-Jan
2,1898,Glossop North End,Manchester City,01-Feb
2,1898,Grimsby Town,Manchester City,01-Feb
2,1898,Leicester City,Manchester City,01-Jan
2,1898,Lincoln City,Manchester City,03-Jan
2,1898,Loughborough,Manchester City,01-Mar
2,1898,Luton Town,Manchester City,0-3
2,1898,Manchester United,Manchester City,3-0
2,1898,New Brighton Tower,Manchester City,0-1
2,1898,Port Vale,Manchester City,01-Jan
2,1898,Walsall,Manchester City,01-Jan
2,1898,Arsenal,Manchester United,05-Jan
2,1898,Barnsley,Manchester United,0-2
2,1898,Birmingham City,Manchester United,04-Jan
2,1898,Blackpool,Manchester United,0-1
2,1898,Burton Swifts,Manchester United,05-Jan
2,1898,Darwen,Manchester United,01-Jan
2,1898,Gainsborough Trinity,Manchester United,0-2
2,1898,Glossop North End,Manchester United,01-Feb
2,1898,Grimsby Town,Manchester United,3-0
2,1898,Leicester City,Manchester United,1-0
2,1898,Lincoln City,Manchester United,2-0
2,1898,Loughborough,Manchester United,0-1
2,1898,Luton Town,Manchester United,0-1
2,1898,Manchester City,Manchester United,4-0
2,1898,New Brighton Tower,Manchester United,0-3
2,1898,Port Vale,Manchester United,1-0
2,1898,Walsall,Manchester United,2-0
2,1898,Arsenal,New Brighton Tower,4-0
2,1898,Barnsley,New Brighton Tower,02-Jan
2,1898,Birmingham City,New Brighton Tower,03-Feb
2,1898,Blackpool,New Brighton Tower,01-Feb
2,1898,Burton Swifts,New Brighton Tower,01-Jan
2,1898,Darwen,New Brighton Tower,02-Apr
2,1898,Gainsborough Trinity,New Brighton Tower,03-Jan
2,1898,Glossop North End,New Brighton Tower,5-0
2,1898,Grimsby Town,New Brighton Tower,02-Feb
2,1898,Leicester City,New Brighton Tower,04-Jan
2,1898,Lincoln City,New Brighton Tower,01-Feb
2,1898,Loughborough,New Brighton Tower,6-0
2,1898,Luton Town,New Brighton Tower,02-Mar
2,1898,Manchester City,New Brighton Tower,01-Jan
2,1898,Manchester United,New Brighton Tower,01-Feb
2,1898,Port Vale,New Brighton Tower,0-0
2,1898,Walsall,New Brighton Tower,01-Jan
2,1898,Arsenal,Port Vale,1-0
2,1898,Barnsley,Port Vale,02-Jan
2,1898,Birmingham City,Port Vale,01-Feb
2,1898,Blackpool,Port Vale,0-4
2,1898,Burton Swifts,Port Vale,2-0
2,1898,Darwen,Port Vale,01-Mar
2,1898,Gainsborough Trinity,Port Vale,03-Feb
2,1898,Glossop North End,Port Vale,0-0
2,1898,Grimsby Town,Port Vale,03-Jan
2,1898,Leicester City,Port Vale,01-Jan
2,1898,Lincoln City,Port Vale,1-0
2,1898,Loughborough,Port Vale,0-3
2,1898,Luton Town,Port Vale,0-1
2,1898,Manchester City,Port Vale,03-Jan
2,1898,Manchester United,Port Vale,02-Jan
2,1898,New Brighton Tower,Port Vale,1-0
2,1898,Walsall,Port Vale,01-Jan
2,1898,Arsenal,Walsall,0-0
2,1898,Barnsley,Walsall,01-Jan
2,1898,Birmingham City,Walsall,02-Jan
2,1898,Blackpool,Walsall,01-Feb
2,1898,Burton Swifts,Walsall,0-2
2,1898,Darwen,Walsall,01-Jan
2,1898,Gainsborough Trinity,Walsall,0-0
2,1898,Glossop North End,Walsall,2-0
2,1898,Grimsby Town,Walsall,02-Jan
2,1898,Leicester City,Walsall,02-Feb
2,1898,Lincoln City,Walsall,01-Jan
2,1898,Loughborough,Walsall,01-Jan
2,1898,Luton Town,Walsall,03-Feb
2,1898,Manchester City,Walsall,2-0
2,1898,Manchester United,Walsall,1-0
2,1898,New Brighton Tower,Walsall,6-0
2,1898,Port Vale,Walsall,0-1
1,1899,Blackburn Rovers,Aston Villa,0-4
1,1899,Burnley,Aston Villa,01-Feb
1,1899,Bury,Aston Villa,2-0
1,1899,Derby County,Aston Villa,2-0
1,1899,Everton,Aston Villa,01-Feb
1,1899,Glossop North End,Aston Villa,1-0
1,1899,Liverpool,Aston Villa,03-Mar
1,1899,Manchester City,Aston Villa,0-2
1,1899,Newcastle United,Aston Villa,03-Feb
1,1899,Nottingham Forest,Aston Villa,01-Jan
1,1899,Notts County,Aston Villa,01-Apr
1,1899,Preston North End,Aston Villa,0-5
1,1899,Sheffield United,Aston Villa,02-Jan
1,1899,Stoke City,Aston Villa,0-2
1,1899,Sunderland,Aston Villa,0-1
1,1899,West Bromwich Albion,Aston Villa,0-2
1,1899,Wolverhampton Wanderers,Aston Villa,0-1
1,1899,Aston Villa,Blackburn Rovers,03-Jan
1,1899,Burnley,Blackburn Rovers,1-0
1,1899,Bury,Blackburn Rovers,2-0
1,1899,Derby County,Blackburn Rovers,0-2
1,1899,Everton,Blackburn Rovers,0-0
1,1899,Glossop North End,Blackburn Rovers,04-Feb
1,1899,Liverpool,Blackburn Rovers,03-Jan
1,1899,Manchester City,Blackburn Rovers,01-Jan
1,1899,Newcastle United,Blackburn Rovers,04-Jan
1,1899,Nottingham Forest,Blackburn Rovers,03-Feb
1,1899,Notts County,Blackburn Rovers,05-Jan
1,1899,Preston North End,Blackburn Rovers,2-0
1,1899,Sheffield United,Blackburn Rovers,3-0
1,1899,Stoke City,Blackburn Rovers,2-0
1,1899,Sunderland,Blackburn Rovers,1-0
1,1899,West Bromwich Albion,Blackburn Rovers,1-0
1,1899,Wolverhampton Wanderers,Blackburn Rovers,4-0
1,1899,Aston Villa,Burnley,2-0
1,1899,Blackburn Rovers,Burnley,2-0
1,1899,Bury,Burnley,01-Jan
1,1899,Derby County,Burnley,04-Jan
1,1899,Everton,Burnley,2-0
1,1899,Glossop North End,Burnley,2-0
1,1899,Liverpool,Burnley,0-1
1,1899,Manchester City,Burnley,1-0
1,1899,Newcastle United,Burnley,2-0
1,1899,Nottingham Forest,Burnley,4-0
1,1899,Notts County,Burnley,06-Jan
1,1899,Preston North End,Burnley,01-Jan
1,1899,Sheffield United,Burnley,0-0
1,1899,Stoke City,Burnley,3-0
1,1899,Sunderland,Burnley,02-Jan
1,1899,West Bromwich Albion,Burnley,2-0
1,1899,Wolverhampton Wanderers,Burnley,3-0
1,1899,Aston Villa,Bury,02-Jan
1,1899,Blackburn Rovers,Bury,03-Feb
1,1899,Burnley,Bury,1-0
1,1899,Derby County,Bury,3-0
1,1899,Everton,Bury,2-0
1,1899,Glossop North End,Bury,0-0
1,1899,Liverpool,Bury,2-0
1,1899,Manchester City,Bury,02-Feb
1,1899,Newcastle United,Bury,02-Jan
1,1899,Nottingham Forest,Bury,02-Feb
1,1899,Notts County,Bury,02-Feb
1,1899,Preston North End,Bury,1-0
1,1899,Sheffield United,Bury,4-0
1,1899,Stoke City,Bury,2-0
1,1899,Sunderland,Bury,1-0
1,1899,West Bromwich Albion,Bury,0-1
1,1899,Wolverhampton Wanderers,Bury,1-0
1,1899,Aston Villa,Derby County,03-Feb
1,1899,Blackburn Rovers,Derby County,2-0
1,1899,Burnley,Derby County,01-Feb
1,1899,Bury,Derby County,01-Jan
1,1899,Everton,Derby County,3-0
1,1899,Glossop North End,Derby County,01-Mar
1,1899,Liverpool,Derby County,0-2
1,1899,Manchester City,Derby County,4-0
1,1899,Newcastle United,Derby County,2-0
1,1899,Nottingham Forest,Derby County,04-Jan
1,1899,Notts County,Derby County,0-0
1,1899,Preston North End,Derby County,0-0
1,1899,Sheffield United,Derby County,01-Jan
1,1899,Stoke City,Derby County,01-Jan
1,1899,Sunderland,Derby County,2-0
1,1899,West Bromwich Albion,Derby County,0-0
1,1899,Wolverhampton Wanderers,Derby County,3-0
1,1899,Aston Villa,Everton,01-Jan
1,1899,Blackburn Rovers,Everton,03-Jan
1,1899,Burnley,Everton,03-Jan
1,1899,Bury,Everton,04-Jan
1,1899,Derby County,Everton,02-Jan
1,1899,Glossop North End,Everton,01-Jan
1,1899,Liverpool,Everton,01-Feb
